DimId,Dimension,Level,DimName,ParentId,,
2,RocheDim,,,,,Biologics
3,RocheDim,,,,,Biologics
4,RocheDim,,,,,Biologics
5,RocheDim,,,,,Biologics
6,RocheDim,,,,,Biologics
7,RocheDim,,,,,Biologics
8,RocheDim,,,,,Biologics
9,RocheDim,,,,,Biologics
10,RocheDim,,,,,Biologics
11,RocheDim,,,,,Biologics
12,RocheDim,,,,,Other
13,RocheDim,,,,,Other
14,RocheDim,,,,,Other
15,RocheDim,,,,,Small Molecules
16,RocheDim,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Other
,,,,,,Other
,,,,,,Other
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Biologics
,,,,,,Other
,,,,,,Other
,,,,,,Other
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
,,,,,,Small Molecules
